Id,ParentId,PostTypeId,CreationDate,Title,Body
1,,1,2015-01-27T21:23:05.507,Should we describe the process of brewing a single cup via pouring water over ground coffee as pour-over-coffee or drip-coffee?,"While answering a few of EdChum's questions I discovered that what I/we in the USA call pour over coffee is referred to as drip coffee in the UK. I added the pour-over tag to both questions I encountered but figured we should decide as a community which tag to use to describe this brewing process and then properly document it because drip-coffee means something different in the US (which is apparently referred to as filter-cofee in the UK). For clarification the method in question is shown in the image below. 
 
"
2,,1,2015-01-27T21:26:10.227,What should go in our main chat feeds?,"Being newly created we have zero feeds appearing in our main chat right now. What blogs, news sites, or other important coffee related things should appear in our main chat room's feed? Post your suggestions/submissions.  
"
3,1,2,2015-01-27T21:30:20.953,,"It looks like filter coffee has another, different meaning too. When I read ""drip coffee,"" I think of the kind you get from a traditional coffeemaker. Go for ""pour-over.""
"
4,,1,2015-01-27T22:31:45.837,Let's think of a creative name for our chatroom,"The chatroom name is so bland. ""Coffee."" Look at all the creative names others have thought up:

""Root Access"" for Super User
""The DMZ"" for Security
""The Renderfarm"" for Blender
""The Litter Box"" for Pets
""The Hangar"" for Aviation
""You Are Here"" for Travel
""The Water Cooler"" for The Workplace
""The Whiteboard"" for Programmers
""The Nineteenth Byte"" for Code Golf
etc...

Can we think of a better name for our chatroom?
Only one idea per answer, please. Vote up the ideas that you like!
Stolen from Lifehacks meta, which was in turn stolen from PPCG meta. But that's okay, because I wrote both of those posts too. :P
"
5,,1,2015-01-27T22:34:21.017,Should product recommendations be on-topic?,"On most SE sites, product recommendations are off-topic, as they tend to become obsolete quickly (see this blog post). Do we want questions asking for the recommendation of goods/products here?
Do we want to completely rule recomendations off-topic, or should we allow certain kinds?
"
6,1,2,2015-01-27T22:35:17.573,,"In the UK and Japan we refer to these:

as drip coffee this is a fairly recent thing to invade UK espresso shops but they have been around for a while in Japan.
Whilst this:

is what we call filter coffee. I'm happy to use both terms but this could turn territorial perhaps as it's unclear what the correct term should be as this is not just a UK-ism.
It may be better to just have a tag synonym in this case perhaps?
Just to defend my corner a little hario is one of the main sellers of these kinds of products and they seem to be the main brand in use in UK and you can see that drip is the term used in their products.
And again here: http://www.hario.co.jp/coffee/hario_coffee/dripdecanter.html although the page is in japanese the url itself uses the term drip.
"
7,4,2,2015-01-27T22:38:09.300,,"The Percolator
"
8,4,2,2015-01-27T22:47:01.130,,"""The Coffee Break""
Not exactly a thing as much as a time, but take it for what it's worth...
"
9,4,2,2015-01-27T22:48:28.107,,"""The Brewing Station""
Another idea that might work...
"
10,5,2,2015-01-27T22:53:17.090,,"One inherent problem of product recommendations is that they are very attractive to spammers. With just a little effort it's hard to differentiate between spam and a well-meant and thoroughly researched recommendation.
Additionally they can be highly subjective and to top it all off, they have to meet certain requirements to be reasonably answered.
This all leads me to the conclusion, that product recommendations should be off-topic for this site. One can always ask for personal opinions in chat :)
"
11,4,2,2015-01-27T22:56:05.857,,"'The coffee-mill' - grinding ourselves a coffee here 
"
12,,1,2015-01-27T23:07:16.797,Should health related questions be off topic?,"How to prevent calcium loss when drinking a lot of coffee? has shown up and while its certainly coffee related I am unsure if A) any and all health related queries would really be on topic and B) if we as a community could truly be said to possess enough expertise on biochemistry and health practices to adequately answer said questions even if the first condition is true. 
"
13,12,2,2015-01-27T23:19:00.887,,"I would vote no. But to be fair I assume there's doctors out there who drink coffee that may actually know about this. That and there must be scientific articles somewhere.
"
14,,1,2015-01-27T23:23:35.603,How should questions about coffee flavor be handled?,"I've seen a post asking about the flavor of coffee. As a food site, these questions will certainly end up in the private beta. These questions may be subjective (what is sweet to one is bitter to another), but I don't know if we should just close all questions of this type.
"
15,5,2,2015-01-28T00:36:20.557,,"This was my concern with an answer I gave a few minutes ago. I wanted to make the asker aware of a product, but didn't want to get shut down for anything that looked like spamming. I chose to provide a link to the manufacturer's ""features"" page, which lacked any way to buy the product. Another question had an excellent answer that provided links to purchase the equipment the asker would need to do what they were asking about (backflushing their espresso machine).
Product recommendations can be made from an honest place, but (as has been said) whether a particular post is inappropriate is very subjective. If product recommendations are off-topic, where is the line?
"
16,,1,2015-01-28T00:44:38.967,What Will Be Considered Opinion Based,"There are questions that asked stuff like how should you store coffee beans and stuff where answers may vary. One of my questions was that whether coffee should be served warm or hot. That question was similar, except with only two possible choices. Yet a user says that my question is opinion-based. Now I am confused on what types of questions will be opinion-based. So my question is, which types of questions would be considered opinion-based?
"
17,5,2,2015-01-28T01:19:58.597,,"Giving specific recommendations (eg. brand names) should be avoided. Not only is it hard to distinguish legitimate recommendations from product promotions and other spam, but these sorts of things are inherently opinion based (which is generally discouraged on SE sits).
General recommendations (eg. recommending a french press to achieve a certain kind of flavor), is a different matter, of course and may be necessary.
"
