,Id,ParentId,PostTypeId,CreationDate,Title,Body,first_Id,first_sim,second_Id,second_sim,third_Id,third_sim,fourth_Id,fourth_sim,fifth_Id,fifth_sim
0,1,,1,2015-01-27T21:23:05.507,Should we describe the process of brewing a single cup via pouring water over ground coffee as pour-over-coffee or drip-coffee?,"While answering a few of EdChum's questions I discovered that what I/we in the USA call pour over coffee is referred to as drip coffee in the UK. I added the pour-over tag to both questions I encountered but figured we should decide as a community which tag to use to describe this brewing process and then properly document it because drip-coffee means something different in the US (which is apparently referred to as filter-cofee in the UK). For clarification the method in question is shown in the image below. 
 
",6,0.37444259447674233,24,0.3693388984030484,78,0.2532053924311832,77,0.24647379680636444,3,0.23655154133293912
1,2,,1,2015-01-27T21:26:10.227,What should go in our main chat feeds?,"Being newly created we have zero feeds appearing in our main chat right now. What blogs, news sites, or other important coffee related things should appear in our main chat room's feed? Post your suggestions/submissions.  
",1223,0.32991744743685775,55,0.17089950276370308,1145,0.11860656847446764,1225,0.11764255009706753,1154,0.10625453911255309
2,3,1.0,2,2015-01-27T21:30:20.953,,"It looks like filter coffee has another, different meaning too. When I read ""drip coffee,"" I think of the kind you get from a traditional coffeemaker. Go for ""pour-over.""
",24,0.30716722645180444,1,0.23655154133293912,77,0.17202143217088414,83,0.16043251481884185,1147,0.15645961466231484
3,4,,1,2015-01-27T22:31:45.837,Let's think of a creative name for our chatroom,"The chatroom name is so bland. ""Coffee."" Look at all the creative names others have thought up:

""Root Access"" for Super User
""The DMZ"" for Security
""The Renderfarm"" for Blender
""The Litter Box"" for Pets
""The Hangar"" for Aviation
""You Are Here"" for Travel
""The Water Cooler"" for The Workplace
""The Whiteboard"" for Programmers
""The Nineteenth Byte"" for Code Golf
etc...

Can we think of a better name for our chatroom?
Only one idea per answer, please. Vote up the ideas that you like!
Stolen from Lifehacks meta, which was in turn stolen from PPCG meta. But that's okay, because I wrote both of those posts too. :P
",84,0.1926022130369829,49,0.19132323956106367,1231,0.18558140097687298,75,0.18113133030449188,74,0.17629741141296337
4,5,,1,2015-01-27T22:34:21.017,Should product recommendations be on-topic?,"On most SE sites, product recommendations are off-topic, as they tend to become obsolete quickly (see this blog post). Do we want questions asking for the recommendation of goods/products here?
Do we want to completely rule recomendations off-topic, or should we allow certain kinds?
",73,0.2638340605782384,10,0.2299355417044704,15,0.20390783813250157,36,0.19873901113279258,1154,0.19736543704630397
5,6,1.0,2,2015-01-27T22:35:17.573,,"In the UK and Japan we refer to these:

as drip coffee this is a fairly recent thing to invade UK espresso shops but they have been around for a while in Japan.
Whilst this:

is what we call filter coffee. I'm happy to use both terms but this could turn territorial perhaps as it's unclear what the correct term should be as this is not just a UK-ism.
It may be better to just have a tag synonym in this case perhaps?
Just to defend my corner a little hario is one of the main sellers of these kinds of products and they seem to be the main brand in use in UK and you can see that drip is the term used in their products.
And again here: http://www.hario.co.jp/coffee/hario_coffee/dripdecanter.html although the page is in japanese the url itself uses the term drip.
",1,0.37444259447674233,77,0.24209638214658666,49,0.23857094073482762,24,0.2321035613657397,61,0.22443067086193744
6,7,4.0,2,2015-01-27T22:38:09.300,,"The Percolator
",1224,0.3961146700774649,74,0.29500910006434494,60,0.22323784802035498,1189,0.07768034138507962,23,0.06706872794035149
7,8,4.0,2,2015-01-27T22:47:01.130,,"""The Coffee Break""
Not exactly a thing as much as a time, but take it for what it's worth...
",1147,0.1853538438940024,84,0.17809519971549168,88,0.17041273089953718,61,0.16825192150305535,109,0.15586284416074006
8,9,4.0,2,2015-01-27T22:48:28.107,,"""The Brewing Station""
Another idea that might work...
",46,0.21649830422330757,1220,0.13476635202434997,52,0.12851951281899882,1139,0.12237297419839176,1153,0.11985089713969624
9,10,5.0,2,2015-01-27T22:53:17.090,,"One inherent problem of product recommendations is that they are very attractive to spammers. With just a little effort it's hard to differentiate between spam and a well-meant and thoroughly researched recommendation.
Additionally they can be highly subjective and to top it all off, they have to meet certain requirements to be reasonably answered.
This all leads me to the conclusion, that product recommendations should be off-topic for this site. One can always ask for personal opinions in chat :)
",73,0.25819980957797734,49,0.25282455249622116,15,0.24843657174752,36,0.23694583460229823,1132,0.23066522467960784
10,11,4.0,2,2015-01-27T22:56:05.857,,"'The coffee-mill' - grinding ourselves a coffee here 
",92,0.24620212003981531,1155,0.1587811006016289,1123,0.13378342344754315,1135,0.12574532278309652,1170,0.12303979031795728
11,12,,1,2015-01-27T23:07:16.797,Should health related questions be off topic?,"How to prevent calcium loss when drinking a lot of coffee? has shown up and while its certainly coffee related I am unsure if A) any and all health related queries would really be on topic and B) if we as a community could truly be said to possess enough expertise on biochemistry and health practices to adequately answer said questions even if the first condition is true. 
",47,0.19275293519598788,1143,0.1836456950846255,1146,0.18229525781382766,109,0.1769623908821026,1109,0.17501890596084355
12,13,12.0,2,2015-01-27T23:19:00.887,,"I would vote no. But to be fair I assume there's doctors out there who drink coffee that may actually know about this. That and there must be scientific articles somewhere.
",1156,0.17149920866242616,1153,0.15217144795920107,1231,0.14980000865628262,1194,0.1468176006402597,56,0.1437348591202029
13,14,,1,2015-01-27T23:23:35.603,How should questions about coffee flavor be handled?,"I've seen a post asking about the flavor of coffee. As a food site, these questions will certainly end up in the private beta. These questions may be subjective (what is sweet to one is bitter to another), but I don't know if we should just close all questions of this type.
",23,0.3286321974848141,18,0.24997523485399742,1157,0.24000172217789362,36,0.23773347079136353,1131,0.23515340411919197
14,15,5.0,2,2015-01-28T00:36:20.557,,"This was my concern with an answer I gave a few minutes ago. I wanted to make the asker aware of a product, but didn't want to get shut down for anything that looked like spamming. I chose to provide a link to the manufacturer's ""features"" page, which lacked any way to buy the product. Another question had an excellent answer that provided links to purchase the equipment the asker would need to do what they were asking about (backflushing their espresso machine).
Product recommendations can be made from an honest place, but (as has been said) whether a particular post is inappropriate is very subjective. If product recommendations are off-topic, where is the line?
",48,0.2880420501114534,73,0.28559314821225773,49,0.27063108544194825,10,0.24843657174752,1146,0.2317652074753099
15,16,,1,2015-01-28T00:44:38.967,What Will Be Considered Opinion Based,"There are questions that asked stuff like how should you store coffee beans and stuff where answers may vary. One of my questions was that whether coffee should be served warm or hot. That question was similar, except with only two possible choices. Yet a user says that my question is opinion-based. Now I am confused on what types of questions will be opinion-based. So my question is, which types of questions would be considered opinion-based?
",36,0.31444169021173374,18,0.2809640612875322,1146,0.2664839429099236,1205,0.24993159018402267,1128,0.24794049124945503
16,17,5.0,2,2015-01-28T01:19:58.597,,"Giving specific recommendations (eg. brand names) should be avoided. Not only is it hard to distinguish legitimate recommendations from product promotions and other spam, but these sorts of things are inherently opinion based (which is generally discouraged on SE sits).
General recommendations (eg. recommending a french press to achieve a certain kind of flavor), is a different matter, of course and may be necessary.
",73,0.23433331569701907,10,0.2109290818710553,79,0.18904776860335973,1227,0.18697299463308997,38,0.18102385256757345
17,18,16.0,2,2015-01-28T01:30:33.230,,"What flavor is ""preferable"", strikes me as primarily opinion based. However, asking about the general types of coffee flavors should be encouraged. When describing a flavor or taste there are going to be some adjectives that may not be viewed the same way by everyone reading them. If one person says a coffee is ""bitter"", that's not necessarily opinion based. Saying that ""because it's bitter it is no good"", however, is.
It's hard to mark a defining line, but it's a line that we can define as a community, and shouldn't try to pin down right away (though, for the most part, I think it will be fairly obvious when someone crosses it).
Other examples:
Opinion based

A robusta is better than an arabica
Do you prefer a french press or a pour-over?
Bitter coffee's taste bad

Not opinion based

This coffee has a bitter aftertaste
Coffee A is more bitter than coffee B (somewhat opinion based, but how else do you describe it when making a comparison? this really depends on the question, I think)

",23,0.2869725883508628,16,0.2809640612875322,1147,0.27018437499137776,14,0.24997523485399742,109,0.2349981760955978
18,20,,1,2015-01-28T01:36:49.147,Are questions about growing coffee beans on topic?,"I posted a question about coffee growing, and asked what mechanisms affect the flavor of coffee grown at different altitudes (I was thinking of things like temperature, wind, soil differences, etc. might come up).
At least one person suggested that this second part of the question (about what mechanisms cause flavor differences if altitude does indeed affect the final product) was ""too scientific"" and suggested that it be closed.
Does this mean all growing questions should be off topic? Or all questions related to the chemistry or biology of coffee? Where do we draw the line?
",23,0.2531188295389332,1198,0.24668466906882178,1128,0.23535784280986072,1132,0.2115100563446168,1154,0.21003224820437746
19,21,20.0,2,2015-01-28T01:39:32.123,,"My personal opinion is that this site should be for coffee growers, roasters, and drinkers alike and that somewhat ""scientific"" questions should be perfectly on topic as long as they pertain more to coffee than the science.
Questions about the biology of a coffee bean probably belong elsewhere (as they are more about biology and could probably apply to any bean), questions about how some chemical process affects the final flavor of coffee, probably belong here (as it's something a coffee expert could probably answer better than a general chemistry expert).
TL;DR — If a coffee expert could answer it better than a insert-branch-of-science-here expert, it's probably a better fit here.
",1147,0.23352937349442243,1146,0.2260585527106166,50,0.22175216963743202,109,0.2124933253249882,1156,0.2103734080243963
20,23,14.0,2,2015-01-28T01:48:54.133,,"It may depend. If they are asking something like:

Is It Preferred To Have Flavor A or Flavor B

That will be subjective and primarily opinion-based as every one has their favorite choice. But if the question is something like this:

Will This Affect The Flavor of The Coffee

That will not be subjective due to the fact it is just asking of the flavor will change or not. This is the situation with the question you posted. The asker just wants to see how the flavor will change, not which one is the best and why. I hope this answers your question!   
",14,0.3286321974848141,1147,0.2978921876278216,49,0.28961769955885497,18,0.2869725883508628,83,0.2841566536419377
21,24,1.0,2,2015-01-28T01:53:35.523,,"I think pour-over is the best tag for the job, simply because it will not be confused with another method. If you call it drip-coffee, then one locale will try to apply the tag to one method of brewing, while another locale will use a different one.
If we then call the machine method filter-coffee, and discourage the use of drip-coffee, it makes for less ambiguity. Admittedly, it does make it difficult for the nationalities who don't use those terms, but I think that's better than having half the people on here tagging with one and half the other.
TL;DR — I think we should use pour-over and filter-coffee.
",1,0.3693388984030484,3,0.30716722645180444,1147,0.26054764692695387,61,0.24741228963840933,77,0.23950234462436434
22,25,4.0,2,2015-01-28T03:49:37.673,,"""Stackbucks Coffee""
Sorry, that was too tempting... I like the chatty aspect, though.
",1125,0.13711652663659754,83,0.11725645176727373,1109,0.09246666211079292,1160,0.09210936236203489,48,0.08612070980918682
23,26,4.0,2,2015-01-28T07:20:05.917,,"just ""café"" ... 

Above the line is my answer. The rest is just filler to fulfill minimum length criterion.
",66,0.14608224474465392,59,0.1242631115217834,1221,0.11447421727719359,1142,0.11123236921925403,23,0.11081876483254507
24,27,12.0,2,2015-01-28T07:23:48.043,,"Coffee is not simply a food, but a beverage with phisiological and neurological effects, that are the main reason many (most?) people drink it.
So it's quite natural that the way the coffee works on human body should be on topic there.  At least in my opinion. 
",1154,0.23226195974819075,1146,0.2147275915922682,1109,0.19944211769052267,1156,0.1947870292381168,1147,0.1914549742020453
25,28,,1,2015-01-28T07:27:33.803,What logo we can have ? Let's start working,"as a nascent community, we like to grow as well as have an identity. A Logo carry a lot about the identity.
We should start think, brew, and sketch the ideas. Even you can contribute your not-so-polished design.
IMO, A logo should be simple, unique, meaningful and fun. What do you think ?
",1121,0.16648592014285016,1120,0.14640996762542854,98,0.14344842440129468,1118,0.13855115922199931,38,0.13785795565456205
26,29,4.0,2,2015-01-28T07:49:03.007,,"The Coffehouse
Since a coffeehouse is where you take a break and have a chat. So my vote goes for ""The Coffehouse"".

""Discussing the War in a Paris Café"", The Illustrated London News 17 September 1870
",35,0.1435447594624176,8,0.1433742714777228,4,0.10970952529989125,1120,0.10906788862284193,26,0.10759678248037359
27,30,4.0,2,2015-01-28T09:31:00.263,,"""The roast""
followed by more text to sate the character demon.
",1194,0.10777898257327978,1220,0.10384707052802047,83,0.08835619616988616,1135,0.08833004027558244,1189,0.08489416130296965
